,0,1
259,"['27', '396']","Dec 6, 2020 at 10:00 PM"
260,"['2', '136']","Dec 6, 2020 at 6:13 PM"
261,"['12', '210']","Dec 6, 2020 at 12:26 PM"
262,"['10', '151']","Dec 5, 2020 at 6:40 PM"
263,"['19', '435']","Dec 5, 2020 at 5:50 PM"
264,"['3', '118']","Dec 4, 2020 at 10:42 PM"
265,"['4', '1000']","Dec 3, 2020 at 11:49 PM"
266,"['2', '107']","Dec 3, 2020 at 10:11 PM"
267,"['10', '1000']","Dec 3, 2020 at 8:33 PM"
268,"['2', '100']","Dec 3, 2020 at 6:29 PM"
269,"['6', '161']","Dec 3, 2020 at 12:29 PM"
270,"['3', '141']","Dec 3, 2020 at 10:05 AM"
271,"['1', '70']","Dec 3, 2020 at 12:49 AM"
272,"['3', '65']","Dec 3, 2020 at 12:34 AM"
273,"['11', '991']","Dec 2, 2020 at 11:57 PM"
274,"['7', '117']","Dec 2, 2020 at 9:39 PM"
275,"['3', '125']","Dec 2, 2020 at 7:46 PM"
276,"['4', '184']","Dec 2, 2020 at 7:09 PM"
277,"['5', '186']","Dec 2, 2020 at 7:07 PM"
278,"['4', '149']","Dec 1, 2020 at 8:54 PM"
279,"['4', '177']","Dec 1, 2020 at 1:09 PM"
280,"['33', '684']","Nov 30, 2020 at 10:47 PM"
281,"['30', '454']","Nov 30, 2020 at 5:03 AM"
282,"['2', '117']","Nov 29, 2020 at 4:13 PM"
283,"['17', '503']","Nov 29, 2020 at 3:49 AM"
284,"['13', '234']","Nov 28, 2020 at 9:07 PM"
285,"['8', '147']","Nov 27, 2020 at 6:20 PM"
286,"['10', '2000']","Nov 27, 2020 at 2:36 PM"
287,"['0', '69']","Nov 26, 2020 at 2:51 PM"
288,"['5', '123']","Nov 26, 2020 at 11:23 AM"
289,"['7', '167']","Nov 26, 2020 at 2:05 AM"
290,"['3', '124']","Nov 25, 2020 at 6:07 PM"
291,"['1', '74']","Nov 25, 2020 at 9:45 AM"
292,"['1', '52']","Nov 25, 2020 at 5:37 AM"
293,"['11', '246']","Nov 24, 2020 at 9:41 PM"
294,"['68', '5000']","Nov 24, 2020 at 4:52 PM"
295,"['7', '169']","Nov 23, 2020 at 11:18 PM"
296,"['4', '103']","Nov 23, 2020 at 8:41 PM"
297,"['8', '264']","Nov 23, 2020 at 2:59 PM"
298,"['8', '987']","Nov 23, 2020 at 2:19 AM"
299,"['7', '202']","Nov 22, 2020 at 9:53 PM"
